timestamp,value
2013-12-02 21:15:00,69.827
2013-12-02 21:20:00,69.973
2013-12-02 21:25:00,70.228
2013-12-02 21:30:00,71.384
2013-12-02 21:35:00,70.569
2013-12-02 21:40:00,69.105
2013-12-02 21:45:00,71.48
2013-12-02 21:50:00,70.94
2013-12-02 21:55:00,71.179
2013-12-02 22:00:00,71.756
2013-12-02 22:05:00,72.073
2013-12-02 22:10:00,73.366
2013-12-02 22:15:00,72.933
2013-12-02 22:20:00,72.452
2013-12-02 22:25:00,71.607
2013-12-02 22:30:00,71.447
2013-12-02 22:35:00,73.131
2013-12-02 22:40:00,74.579
2013-12-02 22:45:00,73.224
2013-12-02 22:50:00,73.213
2013-12-02 22:55:00,74.144
2013-12-02 23:00:00,71.925
2013-12-02 23:05:00,73.456
2013-12-02 23:10:00,74.58
2013-12-02 23:15:00,75.198
2013-12-02 23:20:00,74.017
2013-12-02 23:25:00,74.912
2013-12-02 23:30:00,74.911
2013-12-02 23:35:00,75.702
2013-12-02 23:40:00,73.575
2013-12-02 23:45:00,75.739
2013-12-02 23:50:00,73.383
2013-12-02 23:55:00,72.198
2013-12-03 00:00:00,74.752
2013-12-03 00:05:00,74.517
2013-12-03 00:10:00,76.801
2013-12-03 00:15:00,76.678
2013-12-03 00:20:00,74.546
2013-12-03 00:25:00,77.151
2013-12-03 00:30:00,75.055
2013-12-03 00:35:00,76.274
2013-12-03 00:40:00,76.141
2013-12-03 00:45:00,76.745
2013-12-03 00:50:00,77.701
2013-12-03 00:55:00,77.593
2013-12-03 01:00:00,77.351
2013-12-03 01:05:00,77.813
2013-12-03 01:10:00,77.705
2013-12-03 01:15:00,76.474
2013-12-03 01:20:00,76.457
2013-12-03 01:25:00,76.843
2013-12-03 01:30:00,78.091
2013-12-03 01:35:00,77.273
2013-12-03 01:40:00,80.454
2013-12-03 01:45:00,76.743
2013-12-03 01:50:00,76.479
2013-12-03 01:55:00,78.787
2013-12-03 02:00:00,79.635
2013-12-03 02:05:00,78.596
2013-12-03 02:10:00,79.049
2013-12-03 02:15:00,79.811
2013-12-03 02:20:00,78.036
2013-12-03 02:25:00,76.487
2013-12-03 02:30:00,77.598
2013-12-03 02:35:00,79.418
2013-12-03 02:40:00,76.577
2013-12-03 02:45:00,78.38
2013-12-03 02:50:00,78.671
2013-12-03 02:55:00,78.012
2013-12-03 03:00:00,79.278
2013-12-03 03:05:00,79.122
2013-12-03 03:10:00,81.223
2013-12-03 03:15:00,79.189
2013-12-03 03:20:00,77.718
2013-12-03 03:25:00,77.775
2013-12-03 03:30:00,77.448
2013-12-03 03:35:00,79.582
2013-12-03 03:40:00,77.748
2013-12-03 03:45:00,78.329
2013-12-03 03:50:00,79.294
2013-12-03 03:55:00,77.504
2013-12-03 04:00:00,77.993
2013-12-03 04:05:00,76.106
2013-12-03 04:10:00,76.983
2013-12-03 04:15:00,77.564
2013-12-03 04:20:00,78.703
2013-12-03 04:25:00,79.592
2013-12-03 04:30:00,78.089
2013-12-03 04:35:00,78.373
2013-12-03 04:40:00,78.205
2013-12-03 04:45:00,79.246
2013-12-03 04:50:00,78.954
2013-12-03 04:55:00,78.145
2013-12-03 05:00:00,76.533
2013-12-03 05:05:00,78.758
2013-12-03 05:10:00,78.055
2013-12-03 05:15:00,78.99
2013-12-03 05:20:00,77.399
2013-12-03 05:25:00,79.692
2013-12-03 05:30:00,76.828
2013-12-03 05:35:00,79.078
2013-12-03 05:40:00,77.209
2013-12-03 05:45:00,76.352
2013-12-03 05:50:00,75.516
2013-12-03 05:55:00,76.584
2013-12-03 06:00:00,78.366
2013-12-03 06:05:00,77.527
2013-12-03 06:10:00,77.26
2013-12-03 06:15:00,73.466
2013-12-03 06:20:00,77.052
2013-12-03 06:25:00,76.744
2013-12-03 06:30:00,75.293
2013-12-03 06:35:00,75.073
2013-12-03 06:40:00,75.695
2013-12-03 06:45:00,77.636
2013-12-03 06:50:00,74.166
2013-12-03 06:55:00,74.783
2013-12-03 07:00:00,76.792
2013-12-03 07:05:00,74.482
2013-12-03 07:10:00,74.438
2013-12-03 07:15:00,74.848
2013-12-03 07:20:00,73.095
2013-12-03 07:25:00,74.7
2013-12-03 07:30:00,72.835
2013-12-03 07:35:00,75.197
2013-12-03 07:40:00,73.985
2013-12-03 07:45:00,76.567
2013-12-03 07:50:00,74.008
2013-12-03 07:55:00,75.152
2013-12-03 08:00:00,71.79
2013-12-03 08:05:00,73.047
2013-12-03 08:10:00,73.42
2013-12-03 08:15:00,74.965
2013-12-03 08:20:00,70.69
2013-12-03 08:25:00,73.731
2013-12-03 08:30:00,73.087
2013-12-03 08:35:00,74.052
2013-12-03 08:40:00,72.9
2013-12-03 08:45:00,71.941
2013-12-03 08:50:00,71.085
2013-12-03 08:55:00,70.045
2013-12-03 09:00:00,71.609
2013-12-03 09:05:00,70.975
2013-12-03 09:10:00,73.461
2013-12-03 09:15:00,70.135
2013-12-03 09:20:00,71.083
2013-12-03 09:25:00,68.647
2013-12-03 09:30:00,69.887
2013-12-03 09:35:00,70.506
2013-12-03 09:40:00,71.014
2013-12-03 09:45:00,71.595
2013-12-03 09:50:00,69.637
2013-12-03 09:55:00,68.183
2013-12-03 10:00:00,69.907
2013-12-03 10:05:00,69.812
2013-12-03 10:10:00,69.618
2013-12-03 10:15:00,68.024
2013-12-03 10:20:00,70.061
2013-12-03 10:25:00,68.645
2013-12-03 10:30:00,69.219
2013-12-03 10:35:00,69.749
2013-12-03 10:40:00,68.794
2013-12-03 10:45:00,68.25
2013-12-03 10:50:00,70.334
2013-12-03 10:55:00,67.89
2013-12-03 11:00:00,67.09
2013-12-03 11:05:00,67.43
2013-12-03 11:10:00,68.926
2013-12-03 11:15:00,67.142
2013-12-03 11:20:00,67.478
2013-12-03 11:25:00,68.147
2013-12-03 11:30:00,65.956
2013-12-03 11:35:00,64.361
2013-12-03 11:40:00,66.656
2013-12-03 11:45:00,66.438
2013-12-03 11:50:00,65.301
2013-12-03 11:55:00,66.946
2013-12-03 12:00:00,66.502
2013-12-03 12:05:00,64.455
2013-12-03 12:10:00,66.149
2013-12-03 12:15:00,65.172
2013-12-03 12:20:00,63.511
2013-12-03 12:25:00,65.72
2013-12-03 12:30:00,65.011
2013-12-03 12:35:00,64.062
2013-12-03 12:40:00,65.479
2013-12-03 12:45:00,65.334
2013-12-03 12:50:00,63.956
2013-12-03 12:55:00,65.033
2013-12-03 13:00:00,65.677
2013-12-03 13:05:00,63.514
2013-12-03 13:10:00,64.739
2013-12-03 13:15:00,64.202
2013-12-03 13:20:00,66.837
2013-12-03 13:25:00,61.806
2013-12-03 13:30:00,64.801
2013-12-03 13:35:00,63.529
2013-12-03 13:40:00,63.71
2013-12-03 13:45:00,66.048
2013-12-03 13:50:00,63.696
2013-12-03 13:55:00,66.339
2013-12-03 14:00:00,63.067
2013-12-03 14:05:00,63.968
2013-12-03 14:10:00,62.913
2013-12-03 14:15:00,62.631
2013-12-03 14:20:00,63.497
2013-12-03 14:25:00,63.048
2013-12-03 14:30:00,63.599
2013-12-03 14:35:00,60.803
2013-12-03 14:40:00,65.709
2013-12-03 14:45:00,63.086
2013-12-03 14:50:00,65.361
2013-12-03 14:55:00,62.049
2013-12-03 15:00:00,63.6
2013-12-03 15:05:00,67.043
2013-12-03 15:10:00,62.2
2013-12-03 15:15:00,61.453
2013-12-03 15:20:00,62.598
2013-12-03 15:25:00,63.831
2013-12-03 15:30:00,64.111
2013-12-03 15:35:00,64.845
2013-12-03 15:40:00,63.01
2013-12-03 15:45:00,61.422
2013-12-03 15:50:00,62.852
2013-12-03 15:55:00,64.895
2013-12-03 16:00:00,64.003
2013-12-03 16:05:00,61.136
2013-12-03 16:10:00,63.487
2013-12-03 16:15:00,65.255
2013-12-03 16:20:00,66.181
2013-12-03 16:25:00,64.358
2013-12-03 16:30:00,64.114
2013-12-03 16:35:00,62.318
2013-12-03 16:40:00,62.86
2013-12-03 16:45:00,63.998
2013-12-03 16:50:00,64.619
2013-12-03 16:55:00,64.788
2013-12-03 17:00:00,63.598
2013-12-03 17:05:00,62.873
2013-12-03 17:10:00,63.409
2013-12-03 17:15:00,63.044
2013-12-03 17:20:00,65.298
2013-12-03 17:25:00,61.848
2013-12-03 17:30:00,64.322
2013-12-03 17:35:00,65.365
2013-12-03 17:40:00,66.758
2013-12-03 17:45:00,65.126
2013-12-03 17:50:00,66.354
2013-12-03 17:55:00,64.789
2013-12-03 18:00:00,64.493
2013-12-03 18:05:00,64.698
2013-12-03 18:10:00,67.464
2013-12-03 18:15:00,66.95
